Date,AAPL,AMZN,BA,BAC,CAT,CSCO,CVX,DIS,GE,GOOG,GS,HD,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NVDA,ORCL,PEP,PFE,PG,T,UNH,VZ,WFC,WMT,XOM
2005-01-03,0.9464910626411438,2.2260000705718994,35.67884826660156,28.56041145324707,28.07078742980957,12.387316703796387,22.269683837890625,21.923828125,104.92061614990234,5.001453876495361,74.63951873779297,25.32521629333496,,13.334918022155762,33.98600387573242,22.055757522583008,10.806632041931152,17.6434268951416,36.93994903564453,13.732040405273438,18.30428123474121,0.17973743379116058,10.647461891174316,27.848426818847656,9.889130592346191,30.215959548950195,4.240765571594238,33.008628845214844,11.970810890197754,17.0601863861084,11.640042304992676,24.38685417175293
2005-01-04,0.9562109708786011,2.1070001125335693,34.98583221435547,28.167001724243164,27.760744094848633,11.900032997131348,22.116559982299805,21.687664031982422,103.65900421142578,4.798888683319092,74.15589904785156,25.002044677734375,,13.06902027130127,33.8779411315918,21.828428268432617,10.655750274658203,17.7875919342041,36.63958740234375,13.674927711486816,18.372737884521484,0.17127642035484314,10.369569778442383,27.65005874633789,9.889130592346191,29.838178634643555,4.19602108001709,32.66946029663086,11.849599838256836,17.073951721191406,11.611674308776855,24.221328735351562
2005-01-05,0.9645858407020569,2.0885000228881836,35.566856384277344,27.841188430786133,27.229276657104492,11.906444549560547,22.26093864440918,21.569583892822266,103.02811431884766,4.7744622230529785,73.8216552734375,24.772876739501953,,12.941859245300293,33.856327056884766,21.873897552490234,10.606313705444336,17.64896583557129,36.191280364990234,13.767179489135742,18.3316707611084,0.17287717759609222,10.401327133178711,27.682222366333008,9.821834564208984,30.150264739990234,4.215907573699951,32.78377914428711,11.831857681274414,17.093252182006836,11.62695026397705,24.094751358032227
2005-01-06,0.9653337001800537,2.052500009536743,35.33584976196289,27.79814910888672,27.630817413330078,12.085975646972656,22.63282585144043,21.601072311401367,103.85972595214844,4.652084827423096,74.83867645263672,24.402700424194336,,12.982325553894043,33.953582763671875,21.99892234802246,10.694764137268066,17.7875919342041,36.518531799316406,13.863821983337402,18.31113052368164,0.17120049893856049,10.496604919433594,27.880605697631836,9.82930850982666,30.298080444335938,4.239109039306641,33.50782012939453,11.806482315063477,17.15387725830078,11.792769432067871,24.401473999023438
2005-01-07,1.035620927810669,2.115999937057495,35.21685028076172,27.496929168701172,27.571775436401367,12.002616882324219,22.379056930541992,21.38852310180664,103.22881317138672,4.7828521728515625,74.51862335205078,24.338064193725586,,13.178845405578613,33.82930374145508,21.82274627685547,10.707772254943848,17.67115020751953,36.89511489868164,13.674927711486816,18.256362915039062,0.16792230308055878,10.583948135375977,28.121889114379883,9.833049774169922,30.615625381469727,4.227312088012695,33.24107360839844,11.764686584472656,17.131837844848633,11.779681205749512,24.24080467224121
2005-01-10,1.0312848091125488,2.0920000076293945,35.68583297729492,27.841188430786133,27.31783676147461,12.002616882324219,22.479692459106445,21.47511863708496,102.97078704833984,4.8127055168151855,74.66085815429688,24.56134605407715,,13.225090026855469,34.09406280517578,21.748870849609375,10.767611503601074,17.56024742126465,37.63032913208008,13.837471008300781,18.345354080200195,0.1683036834001541,10.472784996032715,28.824249267578125,9.885394096374512,30.856523513793945,4.196972846984863,33.38206481933594,11.651249885559082,17.120813369750977,11.720772743225098,24.333309173583984
2005-01-11,0.965482771396637,2.0820000171661377,35.5738410949707,27.773550033569336,26.939903259277344,11.95132827758789,22.488431930541992,21.420005798339844,101.50835418701172,4.775202751159668,74.08480072021484,24.508464813232422,,13.028562545776367,33.97520065307617,21.53860092163086,10.707772254943848,17.24420928955078,37.97550964355469,13.692503929138184,18.297435760498047,0.16312018036842346,10.48072338104248,28.668777465820312,9.776970863342285,30.82367515563965,4.154833793640137,33.34777069091797,11.522890090942383,17.08774185180664,11.692405700683594,24.270015716552734
2005-01-12,0.9789422750473022,2.115000009536743,36.35784149169922,27.699798583984375,27.27356719970703,12.1372652053833,22.965328216552734,21.821489334106445,102.31126403808594,4.820600986480713,73.44471740722656,24.796384811401367,,13.386934280395508,34.21293258666992,21.589744567871094,10.707772254943848,17.37727165222168,38.08759307861328,13.65296459197998,18.3316707611084,0.16174806654453278,10.703042030334473,28.74384117126465,9.73210334777832,30.93864631652832,4.181801795959473,33.568790435791016,11.412435531616211,16.85902214050293,11.799311637878418,24.630292892456055
2005-01-13,1.0438464879989624,2.130000114440918,35.440853118896484,27.35554313659668,27.418235778808594,12.041086196899414,22.777191162109375,21.845104217529297,101.02082824707031,4.819367408752441,73.21000671386719,24.520219802856445,,13.19040298461914,33.48350524902344,21.464719772338867,10.598512649536133,17.127763748168945,37.563087463378906,13.464069366455078,17.9825496673584,0.16342559456825256,10.703042030334473,28.37388038635254,9.470383644104004,30.402109146118164,4.1177520751953125,33.68693161010742,11.075104713439941,16.710222244262695,11.703312873840332,24.610809326171875
2005-01-14,1.0498273372650146,2.2274999618530273,35.636844635009766,27.59528923034668,27.663305282592773,12.105202674865723,22.88220977783203,22.27806854248047,101.85242462158203,4.933850288391113,74.12034606933594,24.620113372802734,,13.306010246276855,33.8779411315918,21.487451553344727,10.658345222473145,17.360639572143555,37.64378356933594,13.560713768005371,17.879878997802734,0.16395893692970276,10.82214069366455,28.32562828063965,9.440471649169922,30.59374237060547,4.114380359649658,34.128963470458984,10.997488975524902,16.72399139404297,11.779681205749512,24.86398696899414
