model,ticker,n,ic_pooled,cs_ic_mean,cs_ic_t,hit_rate,hit_ci_lo,hit_ci_hi,hit_p_vs_50,up_rate,hit_p_vs_uprate,share_long,r2_oos
zero,WMT,3020,,,,0.5254745254745254,0.5075932570308581,0.5432907004080705,0.005532798800786665,0.5254745254745254,1.0,0.0,0.0
zero,XOM,3020,,,,0.5104825291181364,0.49260710479902053,0.5283311858707176,0.2580439063349761,0.5104825291181364,1.0,0.0,0.0
rev1,AAPL,3020,-0.007346156064838626,,,0.5053085600530856,0.4874635047538432,0.5231401001537173,0.5723095916846082,0.5248838752488387,0.03284231006843291,0.49370860927152316,-1157.903000353516
rev1,AMD,3020,-0.02792998835837624,,,0.48853917208347586,0.4704444631711779,0.5066639666119713,0.2221712571702655,0.49264454327745466,0.6705074148027118,0.5248344370860927,-1105.2344473708906
rev1,AMZN,3020,0.01897548876295992,,,0.5155938951559389,0.4977434098195587,0.5334046795963999,0.0902501846430673,0.5116124751161247,0.6751812731315887,0.5029801324503311,-1092.769350932539
rev1,BABA,767,-0.04758946950834494,,,0.4856020942408377,0.4503223698092887,0.5210258874354348,0.4474230809474256,0.5052356020942408,0.2780361927635322,0.5097783572359843,-1285.887033780608
rev1,BAC,3020,0.0169889492165412,,,0.5225893459204316,0.5045955762260559,0.5405246753052044,0.014587724674817153,0.5030343897505057,0.03318327307908278,0.5142384105960265,-902.2300659071701
rev1,BBY,3020,0.004084819389729241,,,0.49716383049716384,0.47927798767678786,0.5150569348995986,0.7700898045210156,0.5138471805138471,0.07042034952199694,0.5003311258278146,-1107.2695384028518
rev1,FB,1354,0.04502669594040337,,,0.5256124721603563,0.49891062860622626,0.5521686393109003,0.06387312750105578,0.5374907201187825,0.38208656512089056,0.4859675036927622,-1107.0513464373987
rev1,GE,3020,0.000296387258242023,,,0.5132862428523377,0.49531369929536034,0.5312244947422399,0.152552762001499,0.5058863101244534,0.43030366286792393,0.5205298013245033,-1193.6885377307328
rev1,GM,1731,-0.01486822798220629,,,0.5032107413893754,0.47955241984450525,0.5268546942421991,0.8090881923193994,0.5125510799766492,0.43941865713557526,0.49913344887348354,-1192.9578964985133
rev1,GOOG,3020,-0.020838486410158914,,,0.4991719112288837,0.48134844598365617,0.5169974812392588,0.9419672551073149,0.5110963895329579,0.1900176412275177,0.5082781456953642,-1162.3822410309333
rev1,JPM,3020,0.07373949464387794,,,0.5392809587217043,0.5214170153329583,0.5570445632288914,1.7890806479973715e-05,0.5096537949400799,0.00115960728867412,0.5082781456953642,-1080.9426944027755
rev1,MA,2861,0.053674696855933735,,,0.5266292922214436,0.5082875990247652,0.5448993935643273,0.004697404556777157,0.5402943237561317,0.14302517766471848,0.48164977280671095,-1152.1488150101702
rev1,PFE,3020,0.03299149464463758,,,0.5072366206664423,0.4892613862445576,0.5251931648817947,0.44098192915688417,0.49949511948838776,0.39879124293283486,0.5228476821192053,-1187.7841951715243
rev1,RRC,3020,0.019142709536047357,,,0.5114961679440186,0.493608340764885,0.5293546001102678,0.21448895182619235,0.4948350549816728,0.07070094855841247,0.5145695364238411,-1169.086707278632
rev1,SBUX,3020,0.030601574245204672,,,0.5135045015005002,0.4956099382888085,0.5313645115123399,0.1440475501407288,0.5021673891297099,0.2211486997926117,0.5109271523178808,-1177.049669289875
rev1,SHLD,3020,-0.06293280739868339,,,0.48401065956029315,0.46616534935294607,0.5018968399520394,0.08292278742857326,0.480346435709527,0.6878543830133272,0.5324503311258278,-1134.722922236298
rev1,T,3020,0.009979085926795642,,,0.500503524672709,0.4825592273993816,0.5184465249677571,0.9707702237428502,0.5263511245384357,0.004990382177686698,0.49801324503311256,-1187.4832095749784
rev1,UAA,2989,-0.030374364595368228,,,0.49142280524722504,0.4734747816675979,0.5093929664853438,0.3591412330561197,0.5142953245879582,0.013238512358812581,0.4961525593844095,-1078.5102616938877
rev1,WMT,3020,0.036714790195945424,,,0.5164835164835165,0.49860025577995293,0.5343246578570009,0.0737046949731732,0.5254745254745254,0.32387038425053505,0.502317880794702,-1198.148808343174
rev1,XOM,3020,0.06869988355672771,,,0.5237936772046589,0.5059175506887675,0.5416090455933363,0.009575140203214993,0.5104825291181364,0.14944471866304554,0.5129139072847683,-1171.3609588443906
mom20,AAPL,3020,0.03477992914680163,,,0.5225613802256138,0.5047115056159928,0.5403538152411391,0.013918348645144725,0.5248838752488387,0.7985060900338754,0.5718543046357616,-1377.2380526647637
mom20,AMD,3020,0.022915241597317493,,,0.49948682860075266,0.4813730068882431,0.5176019974304055,0.9704916965344468,0.49264454327745466,0.4594212129958983,0.4513245033112583,-1416.3598385185985
mom20,AMZN,3020,-0.01154205803895349,,,0.4966821499668215,0.47884746382515836,0.5145252831076162,0.7292856479519321,0.5116124751161247,0.10108937463975054,0.5685430463576159,-1112.0062204091705
mom20,BABA,767,0.04554651372487207,,,0.5366492146596858,0.5011941601199096,0.5717375487117037,0.046538810201850744,0.5052356020942408,0.0825780515253895,0.5384615384615384,-1641.7600853009399
mom20,BAC,3020,0.014158090283269585,,,0.4983142279163857,0.4803336228877655,0.5162991941621405,0.8687461358170613,0.5030343897505057,0.6072222313116855,0.4605960264900662,-1005.3897421051304
mom20,BBY,3020,-0.002723229098233614,,,0.5038371705038371,0.4859430233531253,0.5217214931611753,0.6877908773395578,0.5138471805138471,0.27297242380558195,0.48013245033112584,-1331.1059415522477
mom20,FB,1354,-0.013146293491366787,,,0.5018559762435041,0.47518696958820916,0.5285144266376696,0.9132177938970432,0.5374907201187825,0.009412965912373807,0.6129985228951256,-1278.6737288016848
mom20,GE,3020,0.013962575090052448,,,0.5038681466532122,0.48590195963019556,0.521824350026321,0.6865999168733335,0.5058863101244534,0.825828433568661,0.42185430463576157,-1337.0056183689887
mom20,GM,1731,-0.01667119895444827,,,0.4903677758318739,0.46674208448290666,0.5140365732569803,0.43943464440529784,0.5125510799766492,0.06985111192566973,0.4610051993067591,-1270.8594670294233
mom20,GOOG,3020,0.019411995357479166,,,0.5034779728386883,0.4856494414684665,0.5212976641952904,0.7158663645907527,0.5110963895329579,0.40244663140489856,0.5155629139072848,-1235.3708518816738
