model,strategy,cost_bps,ann_ret,ann_vol,sharpe,max_dd,total_ret,avg_turnover,corr_bh,share_long
rev1,sign,0,0.02409865977094053,0.15074362115961137,0.15986520414966168,-0.29473421412301326,0.1657180049211615,1.016745618021811,0.2055434427326096,0.5077815352169012
rev1,sign,2,-0.02714531937735873,0.1507977087023288,-0.1800114843319202,-0.4903634239815978,-0.36930687218299385,1.016745618021811,0.20560412993113708,0.5077815352169012
rev1,sign,5,-0.10401128809980763,0.1508942765876465,-0.689299093722703,-0.7579319744710615,-0.7490766771836077,1.016745618021811,0.20567403642153143,0.5077815352169012
rev1,sign,10,-0.23212123597055576,0.15109629535220848,-1.5362470365635141,-0.9467852329700056,-0.9460354653567863,1.016745618021811,0.20573440891974445,0.5077815352169012
rev1,sign,20,-0.48834113171205207,0.1516535496473291,-3.220110131597257,-0.9975257026522798,-0.9975105637580145,1.016745618021811,0.2056466943101453,0.5077815352169012
rev1,rank,0,-0.07319492128645665,0.11656296318523646,-0.627943210144192,-0.6241762202769916,-0.6165881029418572,1.2949523173100712,0.08958222875249823,0.49998122136257794
rev1,rank,2,-0.1384605180788842,0.11657728132104792,-1.1877144200813103,-0.8258976473993946,-0.8246878962393035,1.2949523173100712,0.08951409169819481,0.49998122136257794
rev1,rank,5,-0.23635891326752564,0.11660819542022148,-2.0269494130816272,-0.946105600291638,-0.9458173245890843,1.2949523173100712,0.08940468154475123,0.49998122136257794
rev1,rank,10,-0.39952290524859463,0.11668485971435173,-3.4239481131197267,-0.9923735977817003,-0.9923531051678142,1.2949523173100712,0.0892032363706645,0.49998122136257794
rev1,rank,20,-0.7258508892107325,0.1169322118393026,-6.207450263647229,-0.9998478890391708,-0.9998482877198717,1.2949523173100712,0.08872973536226311,0.49998122136257794
mom20,sign,0,0.019273854433998802,0.1622241510211849,0.1188100188083698,-0.4601132994562762,0.07488140642896779,0.19741869932590206,-0.44613768453228214,0.49680011635940513
mom20,sign,2,0.009323951987973344,0.16222447098963047,0.057475619621957894,-0.4770921881649681,-0.045946106691459376,0.19741869932590206,-0.446177060431184,0.49680011635940513
mom20,sign,5,-0.005600901681064856,0.16222805649312752,-0.0345248645773065,-0.5015667067319065,-0.20221660841119882,0.19741869932590206,-0.4462275816375191,0.49680011635940513
mom20,sign,10,-0.030475657796128538,0.16224231303258746,-0.1878403803945232,-0.5855073440947427,-0.40790974497057675,0.19741869932590206,-0.4462889993377751,0.49680011635940513
mom20,sign,20,-0.08022517002625586,0.16230186642278097,-0.49429604104044556,-0.7228450354035895,-0.6739162424958396,0.19741869932590206,-0.4463264258872666,0.49680011635940513
mom20,rank,0,0.06614638591980292,0.11781476171609326,0.5614439562268151,-0.2514513771319652,1.0327529966059563,0.2944289897158275,-0.12179856610604183,0.5
mom20,rank,2,0.051307164838125204,0.11780448455547446,0.4355281128025692,-0.2791237678787938,0.701656509713712,0.2944289897158275,-0.12183866242510753,0.5
mom20,rank,5,0.02904833321560864,0.11779128755761605,0.24660850405765397,-0.3217472503155874,0.30329566933172325,0.2944289897158275,-0.12189652390933144,0.5
mom20,rank,10,-0.008049719488585613,0.11777521130782484,-0.06834816426307527,-0.43683066578144103,-0.164457877605803,0.2944289897158275,-0.12198685782409692,0.5
mom20,rank,20,-0.08224582489697414,0.11776526325885887,-0.6983878150570619,-0.7117630975569947,-0.6566632788922697,0.2944289897158275,-0.12214456515295058,0.5
ridge,sign,0,0.14827502542068607,0.21625128687350303,0.6856607771653174,-0.502846957162683,3.465856911014974,0.25106922204225013,0.9002259072432658,0.883386058688775
ridge,sign,2,0.1356211366297567,0.2162770057043692,0.6270714549060215,-0.5054658672695869,2.8375029920942527,0.25106922204225013,0.9001685544758002,0.883386058688775
ridge,sign,5,0.11664030344336257,0.2163274324791317,0.539184060507973,-0.5105291755969534,2.056645370472574,0.25106922204225013,0.9000332522302227,0.883386058688775
ridge,sign,10,0.08500558146603905,0.2164430469125556,0.392738795163893,-0.5192143378751048,1.0917996258842209,0.25106922204225013,0.8996766450162873,0.883386058688775
ridge,sign,20,0.021736137511392004,0.21679240812347741,0.10026244783909526,-0.5478244303071707,-0.02079373191424605,0.25106922204225013,0.8984747175169405,0.883386058688775
ridge,rank,0,0.048842881147339035,0.11553572603373514,0.4227513239764249,-0.2530052259184661,0.6577301475426416,0.6375052483005712,0.06489142123786468,0.5
ridge,rank,2,0.016712616632990236,0.11553978175602608,0.14464815822727287,-0.2992549273689772,0.12797349309069084,0.6375052483005712,0.06485804673604904,0.5
ridge,rank,5,-0.03148278013853293,0.11555699580491738,-0.27244374015816375,-0.4224522907413233,-0.3669619646368739,0.6375052483005712,0.06480174706201573,0.5
ridge,rank,10,-0.11180844142440487,0.11561534953929098,-0.9670726410458815,-0.7669771038310428,-0.7583481551253881,0.6375052483005712,0.06469134929332124,0.5
ridge,rank,20,-0.2724597639961489,0.11584304911957367,-2.3519733472736446,-0.9652367772560319,-0.9648242607929218,0.6375052483005712,0.06440911657679282,0.5
lgbm,sign,0,0.15863993137532514,0.20315247906595724,0.7808909450906565,-0.5021860605520183,4.224167721275475,0.27858448264864216,0.8113416142244125,0.8850950874513654
lgbm,sign,2,0.14459927344983356,0.2031673652468407,0.7117249036239205,-0.5168065423209718,3.415303433331693,0.27858448264864216,0.8114062228816493,0.8850950874513654
lgbm,sign,5,0.12353828656159624,0.2032067000832399,0.6079439630238129,-0.5379412825555292,2.4304422135400707,0.27858448264864216,0.8114352066307253,0.8850950874513654
lgbm,sign,10,0.08843664174786733,0.2033175732802159,0.43496801737832264,-0.5711444301029617,1.2521518751559286,0.27858448264864216,0.8113026256475064,0.8850950874513654
lgbm,sign,20,0.018233352120409507,0.2037088589372339,0.08950691793932981,-0.6308617489206494,-0.029856237844657074,0.27858448264864216,0.8103629005002443,0.8850950874513654
lgbm,rank,0,-7.236505322680684e-05,0.12385137488118854,-0.000584289462238325,-0.4327314354420233,-0.09004782096193609,0.8024696608256252,0.04556660165453745,0.4992196465457884
lgbm,rank,2,-0.040516835958838336,0.12383375914666356,-0.32718732143834767,-0.612786100077902,-0.43959769353639233,0.8024696608256252,0.04561551827868233,0.4992196465457884
lgbm,rank,5,-0.10118354231725561,0.12384434605009897,-0.8170218951806136,-0.7822735184735401,-0.7292087099094338,0.8024696608256252,0.045675265320762326,0.4992196465457884
lgbm,rank,10,-0.20229471958128437,0.12396062800597617,-1.6319271920075438,-0.9261417401537775,-0.9194696057115066,0.8024696608256252,0.04573839739483973,0.4992196465457884
lgbm,rank,20,-0.4045170741093419,0.12456137669873758,-3.2475321390169065,-0.9932880844360894,-0.9928921915500764,0.8024696608256252,0.04572873885539107,0.4992196465457884
lstm,sign,0,0.06366205649007316,0.21262868532267945,0.299404835210552,-0.5136104806416402,0.6355777704506913,0.12423269249607594,0.8590757779541079,0.8345930391389076
lstm,sign,2,0.057400728788270926,0.21263312104028131,0.2699519647148334,-0.5151441425623933,0.5173433899552649,0.12423269249607594,0.8590210099007918,0.8345930391389076
lstm,sign,5,0.048008737235567596,0.21264282966297085,0.22577171923294684,-0.5174357147463551,0.3558073872540002,0.12423269249607594,0.858926521703191,0.8345930391389076
lstm,sign,10,0.032355417981062014,0.2126671561341362,0.1521411136971916,-0.5212313341454674,0.12385028746618021,0.12423269249607594,0.8587361685551105,0.8345930391389076
lstm,sign,20,0.0010487794720508677,0.21274634003582207,0.0049297180476725235,-0.5287346298471474,-0.22788790130713643,0.12423269249607594,0.8582324113429887,0.8345930391389076
lstm,rank,0,0.007008854389213346,0.11062975408854447,0.06335415320189255,-0.3072042797418959,0.010769635250442278,0.29170294523867923,-0.025298041998156155,0.5
lstm,rank,2,-0.007692974050816076,0.11063061446007848,-0.06953747919019394,-0.34466777042107,-0.15251823489530958,0.29170294523867923,-0.02530757069706896,0.5
lstm,rank,5,-0.029745716710860244,0.11063506036364004,-0.2688633839317369,-0.4157377823327685,-0.349364977444919,0.29170294523867923,-0.025321141280144222,0.5
lstm,rank,10,-0.06650028781093384,0.11065088309272417,-0.6009919302244281,-0.6060815462492959,-0.5812173164593111,0.29170294523867923,-0.02534182958560335,0.5
lstm,rank,20,-0.140009430011081,0.1107140568805223,-1.2646039171175252,-0.8333759785948293,-0.8265440106108395,0.29170294523867923,-0.025375960014895435,0.5
buy_and_hold_ew,long,0,0.15726158275331115,0.2327703762735649,0.6756082336202801,-0.5375936416186189,3.7563496267696097,,1.0,1.0
