model,test_year,n,ic_pooled,cs_ic_mean,cs_ic_t,hit_rate,hit_ci_lo,hit_ci_hi,hit_p_vs_50,up_rate,hit_p_vs_uprate,share_long,r2_oos
rev1,2011,4506,0.023993897451682813,-0.0007875799928331908,-0.04226146179795311,0.5099619431385718,0.4952997508957437,0.5246070156512975,0.18794550438186167,0.5108573987015894,0.9047129931110349,0.5022192632046161,
rev1,2012,4595,0.002371997293306773,-0.00267882599843394,-0.15583783288491004,0.5088952339117065,0.49437245448793377,0.5234030152584801,0.23577362146511333,0.5099934109378432,0.8821751995078764,0.5070729053318824,
rev1,2013,4788,0.0245108907475335,-0.0005690696703308725,-0.035023983237039716,0.5141350210970465,0.49990069548032073,0.5283464534126777,0.05337256921374452,0.5286919831223629,0.0462297051543432,0.48600668337510444,
rev1,2014,4800,-0.005182735977784696,-0.01400365457582663,-0.83385993170068,0.5119324181626188,0.4976907306609843,0.526154759342311,0.10359147601387057,0.5167898627243929,0.5036239915102643,0.5035416666666667,
rev1,2015,5040,-0.021371688354985097,0.0022045258123872917,0.13412888796232325,0.5117352056168506,0.49785520457573235,0.5255971335381899,0.10038279077037164,0.4990972918756269,0.0766454408494057,0.518452380952381,
rev1,2016,5040,0.02570985771242201,0.011740552440986722,0.6551184349598769,0.5150969806038792,0.5012391159692184,0.5289316690562258,0.03390228764384586,0.5198960207958409,0.4969965015330575,0.5031746031746032,
rev1,2017,5020,-0.02935918477683544,-0.04221363378188054,-2.2947995690684184,0.4937700964630225,0.4798886637980392,0.5076611409989648,0.38717903445483914,0.5255225080385852,7.723025688650387e-06,0.499203187250996,
rev1,ALL,55002,0.007128815642816971,-0.009790842155069696,-1.8810775511055509,0.5090515581152216,0.504854705700179,0.5132471350578508,2.41226883891538e-05,0.5104455164065222,0.5149775299613564,0.5077815352169012,
mom20,2006,4077,0.01647727726313033,0.02168677453009796,1.148946623402997,0.5081562036579338,0.4927509984056275,0.523545935281853,0.3068366847937097,0.4982698961937716,0.20854815811733637,0.494971792985038,
mom20,2007,4267,0.01292737813475182,0.035710430161581375,2.0717276632369557,0.5125177137458667,0.4974570181119491,0.5275557147849104,0.10658865665241211,0.5092111478507322,0.6781370996346794,0.44668385282399814,
mom20,2008,4301,-0.016517490016903384,0.003976523945553265,0.20323247482930162,0.510628357860313,0.49565093703883967,0.5255867208479771,0.1689599608447367,0.46975005839757067,8.967082517968319e-08,0.33666589165310395,
mom20,2009,4284,-0.027512085838956733,-0.004796745182958062,-0.24979290285376293,0.4870770676691729,0.4720785944553354,0.5020988491378724,0.09474867864491114,0.5143327067669173,0.00039540110939369086,0.5826330532212886,
mom20,2010,4284,0.013170173889876671,0.008034204516288137,0.42801253812866646,0.510007063809748,0.4949700025840858,0.525026037729437,0.19740750451615285,0.517541794207676,0.325826069542576,0.5175070028011205,
mom20,2011,4506,-0.013693812569994981,0.030629791831776106,1.5605567016328257,0.492052831878218,0.47740497119532627,0.5067143498738881,0.29493928425985566,0.5108573987015894,0.012436809862488124,0.4507323568575233,
mom20,2012,4595,0.019669581260546333,0.029931756594269394,1.6108300451324957,0.5040632549967055,0.489542732443524,0.5185769265764428,0.5936759805825579,0.5099934109378432,0.42350517708252877,0.5436343852013058,
mom20,2013,4788,-0.03141248072025328,0.0068159832810675185,0.4313708053804216,0.49156118143459915,0.4773414790986452,0.5057945514129975,0.25118852023021576,0.5286919831223629,3.242391056095844e-07,0.6138262322472848,
mom20,2014,4800,-0.02881166565481205,-0.0038982181045467863,-0.20791496519368066,0.48996832101372756,0.4757432509965339,0.5042096556378639,0.1719154861202653,0.5167898627243929,0.0002335979727371437,0.4708333333333333,
mom20,2015,5040,0.00021869250772706562,0.03488938735282578,1.9538467725202349,0.5031093279839518,0.48923241816119595,0.5169814492023217,0.6709124341509447,0.4990972918756269,0.5710717892732606,0.4513888888888889,
mom20,2016,5040,0.003603603094155419,0.005393824892054006,0.2964983991416347,0.5066986602679464,0.4928421731563667,0.5205448639079032,0.35067251926408155,0.5198960207958409,0.0637422427757591,0.5263888888888889,
mom20,2017,5020,0.0005742571558851695,0.021909264337818132,1.178320491680763,0.5066318327974276,0.49274062168342464,0.5205128119197647,0.3568152058372577,0.5255225080385852,0.007938406500579816,0.5147410358565737,
mom20,ALL,55002,0.00098502374688383,0.0158331513367536,2.969153429924127,0.5017699601988225,0.4975729593915103,0.5059667115976486,0.41091822464841177,0.5104455164065222,5.162759201991624e-05,0.49680011635940513,
ridge,2006,4077,0.01526138868914194,-0.016409063761280512,-0.8937700457592584,0.5076618882847257,0.49225691130707705,0.5230523294296471,0.33756145153002814,0.4982698961937716,0.2322099187478236,0.801569781702232,-0.00038225455001783537
ridge,2007,4267,0.03956989920680442,0.05521089574877332,3.492619943256708,0.5068493150684932,0.4917904548864712,0.52189575745332,0.381037346301345,0.5092111478507322,0.7585565963060249,0.8357159596906492,0.0006511855414170764
ridge,2008,4301,-0.017705339194278663,0.017305877877671006,0.853480433625826,0.474889044615744,0.45995916191196734,0.48986395406972966,0.001070462011132635,0.46975005839757067,0.5005420234527913,0.9444315275517322,-0.003896675127661675
ridge,2009,4284,0.010718166640100491,0.010204117849529393,0.5200935658995024,0.5155075187969925,0.5004856120645202,0.5305014556236305,0.04462729198482205,0.5143327067669173,0.8902321902059145,0.9908963585434174,0.0019176361553759902
