model,ticker,n,ic_pooled,cs_ic_mean,cs_ic_t,hit_rate,hit_ci_lo,hit_ci_hi,hit_p_vs_50,up_rate,hit_p_vs_uprate,share_long,r2_oos
rev1,KO,2766,0.03792780238841014,,,0.5103976650857351,0.49168173350681754,0.529084492128935,0.28478385539953827,0.52681503101058,0.0851937524433679,0.4938539407086045,-2812.0575120884073
rev1,MCD,2766,0.034490034677551656,,,0.5125136017410229,0.49385088573336455,0.5311414934020413,0.19528973432948893,0.5324628219078709,0.037478950946246425,0.48734634851771513,-2512.2991358958816
rev1,MMM,2766,0.024919960586742538,,,0.5192168237853517,0.5005560917654612,0.5378240962945637,0.045549252100670366,0.5213923132704859,0.8191302971062568,0.49783080260303686,-2579.724301123381
rev1,MRK,2766,0.019423458909004848,,,0.5102115244347192,0.49149912097083015,0.5288953548066511,0.2935613589402707,0.5160466812545588,0.5409986157957121,0.5021691973969631,-2760.960889737226
rev1,MSFT,2766,0.07240880554565374,,,0.5227190112686296,0.5040351498541958,0.5413395097995571,0.018055095463586555,0.5379861868411486,0.10828291422519354,0.4793926247288503,-2662.801971916673
rev1,NVDA,2766,0.043442548254163944,,,0.5124954726548352,0.4938462824688508,0.5311099392546649,0.19561368208151414,0.545816733067729,0.00046774908019157793,0.4613159797541576,-2406.028654524231
rev1,ORCL,2766,0.02724446437556345,,,0.515659140568099,0.4969580139164029,0.5343165147691766,0.10477191636249977,0.5375091041514931,0.02275033928870632,0.47975415762834417,-2290.8289059791678
rev1,PEP,2766,0.06020077471457092,,,0.5167151162790697,0.49803418579712705,0.5353494455407553,0.08278034855194098,0.5247093023255814,0.40112181395254376,0.5014461315979755,-2623.0045384461364
rev1,PFE,2766,0.00657625080529375,,,0.4950567557671183,0.47632502826905865,0.5138023706998616,0.6188288839354184,0.4972537532039546,0.8332874323774216,0.5209689081706436,-2802.974932613767
rev1,PG,2766,0.04252071359428159,,,0.5043572984749455,0.4856906570536528,0.5230118006944644,0.6611953247571424,0.528322440087146,0.012395879209260252,0.49493853940708604,-2768.7285992248317
rev1,T,2766,0.021135080781433474,,,0.5047549378200439,0.4860197957018618,0.5234767361647005,0.63256979347148,0.5267008046817849,0.022642360821151137,0.4898770788141721,-2786.5630376172094
rev1,UNH,2766,0.01447778384946313,,,0.5099601593625498,0.49131237210855644,0.5285802683956953,0.30409661333883625,0.5269829771821803,0.0762945797149995,0.49168474331164136,-2383.0339014765514
rev1,VZ,2766,0.006434538786088807,,,0.5102339181286549,0.4915010067136866,0.5289381310817246,0.2930326135400656,0.5120614035087719,0.848371632692546,0.5065075921908894,-2780.3324244468563
rev1,WFC,2766,0.01821071456608583,,,0.5070883315158125,0.48840888297519514,0.5257480108367758,0.46876532375881413,0.5110868774990912,0.6748749631135831,0.5007230657989877,-2628.1664153691513
rev1,WMT,2766,0.023127783775648364,,,0.5114089098152843,0.49276026224533714,0.5300258532413511,0.23802008221297885,0.5335023542194857,0.020984228638056185,0.48626174981923354,-2685.2008009977085
rev1,XOM,2766,-0.0029758108893320895,,,0.5023576351106275,0.48370342382060566,0.5210052852918621,0.8192312934717964,0.5107000362713094,0.38096918912345534,0.5039768618944324,-2718.979174591827
mom20,AAPL,2766,0.01006613545641929,,,0.5094202898550725,0.49076948765546846,0.5280449046020328,0.33166446527530563,0.532608695652174,0.015396390317797489,0.5860448300795372,-3091.271859869441
mom20,AMZN,2766,-0.020275446423907155,,,0.5057929036929761,0.4871518349251969,0.5244178804193117,0.5552914712789575,0.5347574221578566,0.002417364144998135,0.6106290672451193,-2916.4462245912578
mom20,BA,2766,-0.0020985208373465406,,,0.4998189061934082,0.4811815177768879,0.5184567978503075,1.0,0.5117710974284679,0.2090403193184004,0.5007230657989877,-2812.032543906693
mom20,BAC,2766,-0.014295592191702003,,,0.4930453879941435,0.47432080280131467,0.5117895041696738,0.47902472245527883,0.5157393850658858,0.018536386901675358,0.5437454808387563,-3202.4407331404113
mom20,CAT,2766,-0.010560292478437695,,,0.49529667149059337,0.47667648437345744,0.51392991448983,0.6344225751799216,0.5227930535455861,0.004030391324087692,0.5578452639190167,-3271.5328706453247
mom20,CSCO,2766,-0.0214053878986497,,,0.5038363171355499,0.4851124272800843,0.5225494529248863,0.702253869384922,0.5301424917793204,0.006164646816147302,0.5502530730296457,-2785.074137488562
mom20,CVX,2766,-0.0177241725894726,,,0.48749546937296123,0.4688742938655608,0.5061514187920162,0.19545174708613286,0.5226531351939109,0.00023367777866353502,0.5007230657989877,-2839.453974163875
mom20,DIS,2766,0.0046312345946413185,,,0.5110627493652521,0.4924007776262533,0.5296939343630183,0.2531580899789592,0.5030830612985129,0.41281858607211763,0.4493853940708604,-3417.8974211611903
mom20,GE,2766,0.01970667569099641,,,0.5078668130259788,0.4891253488152783,0.5265861925468525,0.4217511158774018,0.5118916941090377,0.6738564358486676,0.49493853940708604,-3708.1013226470604
mom20,GOOG,2766,-0.048532471617708337,,,0.4913232104121475,0.4727172329845426,0.5099532561871126,0.37150734724852613,0.5404916847433117,2.2983114685887692e-07,0.5900216919739696,-2648.3830690281175
mom20,GS,2766,-0.0041087760444200525,,,0.5097684515195369,0.49113090580707813,0.5283788811691708,0.3134026218002367,0.5188133140376266,0.34132382767974945,0.5169920462762111,-3282.2495343318915
mom20,HD,2766,0.004113049924055316,,,0.5067004708438971,0.4880551909117158,0.5253271308820534,0.49327249108286775,0.5280695400217312,0.025718292921665956,0.5386840202458424,-2985.927462790137
mom20,INTC,2766,-0.03175154799534675,,,0.4899963623135686,0.4713358368889636,0.508684807960344,0.3030434511233815,0.513641324117861,0.013828998271174708,0.5003615328994938,-2713.460791886076
mom20,JNJ,2766,-0.010033699120070419,,,0.5005436752446538,0.48189854443626035,0.519187294143845,0.9696278051179662,0.5222906850308082,0.023324573273539224,0.4898770788141721,-2756.167874603486
