model,strategy,cost_bps,ann_ret,ann_vol,sharpe,max_dd,total_ret,avg_turnover,corr_bh,share_long
rev1,sign,0,0.05404071500584055,0.12580367933073827,0.4295638672360873,-0.29081502576824614,0.6605148809063728,1.013679938422783,0.2253799280348315,0.49313087490961677
rev1,sign,2,0.0029512461093322935,0.12580612600203503,0.023458683635839438,-0.40635095778995345,-0.05220568458579444,1.013679938422783,0.22572957217481526,0.49313087490961677
rev1,sign,5,-0.07368295723543009,0.1258268807395913,-0.5855899534529733,-0.6100093724584721,-0.5913812878752223,1.013679938422783,0.22622329219396248,0.49313087490961677
rev1,sign,10,-0.20140662947670077,0.12590700003481686,-1.5996460039632912,-0.900965930089304,-0.8995266911590245,1.013679938422783,0.22696369711639489,0.49313087490961677
rev1,sign,20,-0.4568539739592421,0.12623748180637664,-3.6190041770634003,-0.9939748896226455,-0.9939398291993894,1.013679938422783,0.22813360846000866,0.49313087490961677
rev1,rank,0,-0.009006255877833106,0.07919932485528373,-0.11371632137382115,-0.2378470095071219,-0.12477796745670044,1.3170310807664067,0.11372958717302448,0.5001024232127149
rev1,rank,2,-0.07538462234846,0.07921446230528464,-0.9516522634204746,-0.5940615596161165,-0.5776885697732672,1.3170310807664067,0.11362681806894656,0.5001024232127149
rev1,rank,5,-0.17495217205440033,0.07925003442180767,-2.207597426686515,-0.8592705929254401,-0.8585042313401332,1.3170310807664067,0.11345431616929776,0.5001024232127149
rev1,rank,10,-0.3408980882309676,0.07934357362389706,-4.296480138982477,-0.9772487096716064,-0.9771529211434479,1.3170310807664067,0.11311830301228253,0.5001024232127149
rev1,rank,20,-0.672789920584102,0.07965846833953887,-8.445930917430903,-0.999407576274345,-0.9994065444740298,1.3170310807664067,0.1122682179656979,0.5001024232127149
mom20,sign,0,-0.01645203428081629,0.13256556998563634,-0.1241048809475861,-0.4289349601380211,-0.24223902846347145,0.20223683903622322,-0.5192870808794413,0.5263569146082616
mom20,sign,2,-0.026644770968241936,0.13255798436791838,-0.2010046478549993,-0.4614214825160158,-0.3224468756986111,0.20223683903622322,-0.5192071878146308,0.5263569146082616
mom20,sign,5,-0.041933875999380414,0.13254952094445993,-0.3163638442492092,-0.50672241245763,-0.42713208043441864,0.20223683903622322,-0.5190759154044444,0.5263569146082616
mom20,sign,10,-0.06741571771794455,0.13254319006391935,-0.5086320744614123,-0.5787594663803478,-0.5669297599468945,0.20223683903622322,-0.5188266552601363,0.5263569146082616
mom20,sign,20,-0.11837940115507278,0.1325596862169071,-0.8930271678628512,-0.7559256301745854,-0.7525367606527809,0.20223683903622322,-0.5182140517546103,0.5263569146082616
mom20,rank,0,0.014029503593404841,0.08287328110247082,0.16928862242171513,-0.16294669287242747,0.12332384436664467,0.2967687997107737,-0.23623472976982984,0.4999939745242887
mom20,rank,2,-0.0009276439120181574,0.08286382886061656,-0.011194799042879457,-0.21668899512946282,-0.046744119889637115,0.2967687997107737,-0.23617130282721285,0.4999939745242887
mom20,rank,5,-0.023363365170152642,0.0828521935012969,-0.2819884927945442,-0.320873816424864,-0.25482662871907624,0.2967687997107737,-0.2360688893321744,0.4999939745242887
mom20,rank,10,-0.06075623393371012,0.08283958554510147,-0.7334203030341307,-0.5229868025954747,-0.5057122192299344,0.2967687997107737,-0.23587881689909318,0.4999939745242887
mom20,rank,20,-0.13554197146082508,0.08283982145056681,-1.6361934283224806,-0.7850633970675485,-0.7825619632124232,0.2967687997107737,-0.2354261435345566,0.4999939745242887
ridge,sign,0,0.12656503160697216,0.1528154153904043,0.8282216246550185,-0.1818224828785111,2.5317710845564787,0.6341870174702023,0.4690591433181698,0.7123480978704546
ridge,sign,2,0.09460200592647397,0.1528054591016095,0.6191009567502914,-0.218196691611522,1.487060377472766,0.6341870174702023,0.46986330880653315,0.7123480978704546
ridge,sign,5,0.046657467405726655,0.15283368423668672,0.30528261906891097,-0.3234135395441944,0.4694654395206701,0.6341870174702023,0.47093672549465376,0.7123480978704546
ridge,sign,10,-0.033250096795518845,0.1529957150682209,-0.2173269805673486,-0.5457047946280136,-0.3889164189095209,0.6341870174702023,0.47236958066674967,0.7123480978704546
ridge,sign,20,-0.19306522519800984,0.1537488413594352,-1.2557182447096333,-0.8965718803753545,-0.8944872317328475,0.6341870174702023,0.4738999986477972,0.7123480978704546
ridge,rank,0,-0.0008948898960939791,0.07935496162623028,-0.011277050328736835,-0.28928704827385154,-0.04335334905486543,0.7008947939262472,0.24569171922463293,0.5
ridge,rank,2,-0.03621998750997684,0.07938576216210792,-0.45625294162969204,-0.3866272042984641,-0.35086882620208815,0.7008947939262472,0.2459560991698536,0.5
ridge,rank,5,-0.08920763393080113,0.07944930065554943,-1.1228246591818185,-0.6437443904366804,-0.6372119562340164,0.7008947939262472,0.2462985248410465,0.5
ridge,rank,10,-0.1775203779655083,0.07960129889943345,-2.2301191113700756,-0.8643697685328218,-0.8624740226367725,0.7008947939262472,0.24672504623433628,0.5
ridge,rank,20,-0.35414586603492254,0.08007683513798482,-4.422575710249715,-0.9804379434357698,-0.9802603808816677,0.7008947939262472,0.24704287223028273,0.5
lgbm,sign,0,0.17115655461300383,0.15539089044328167,1.1014580978637014,-0.2022035830248058,4.730302084735889,0.28305693560049433,0.5537147737762477,0.8696149091502811
lgbm,sign,2,0.1568904850587389,0.15538616088132337,1.009681197919321,-0.22166195256045562,3.900170254073231,0.28305693560049433,0.5540690137680607,0.8696149091502811
lgbm,sign,5,0.13549138072734151,0.15542146372046237,0.8717674990568441,-0.25389877939947214,2.874565968225607,0.28305693560049433,0.5544491255966578,0.8696149091502811
lgbm,sign,10,0.09982620684167923,0.15559324462342505,0.6415844536392558,-0.3303362145219889,1.6190262540938773,0.28305693560049433,0.5546793357109632,0.8696149091502811
lgbm,sign,20,0.028495859070354675,0.15635818511625732,0.18224731279124973,-0.5051734906740041,0.19560101603888347,0.28305693560049433,0.5536421603040048,0.8696149091502811
lgbm,rank,0,0.07112464844756404,0.10163983231277494,0.699771406830868,-0.24141453434104643,1.0629211773943945,0.787765957183993,0.08860645284074964,0.46104711856609515
lgbm,rank,2,0.031421244205490785,0.10157480601620339,0.30934092259529805,-0.2538649016499913,0.3343814406196426,0.787765957183993,0.08906397238657777,0.46104711856609515
lgbm,rank,5,-0.028133862157619077,0.10154670630675011,-0.27705341887340895,-0.3589508298729389,-0.30595676249782633,0.787765957183993,0.08968997729123801,0.46104711856609515
lgbm,rank,10,-0.1273923727628022,0.10168509020186488,-1.2528127035133991,-0.7682314616101744,-0.7666585714762185,0.787765957183993,0.09056881926798327,0.46104711856609515
lgbm,rank,20,-0.3259093939731684,0.10265107627239238,-3.1749242755949605,-0.9738193664576759,-0.9736788330220703,0.787765957183993,0.09169949743089616,0.46104711856609515
lstm,sign,0,0.03807239827966953,0.14456114705895115,0.26336535821858026,-0.3070243447427492,0.35383643639528706,0.28461965918540955,0.7048221690228959,0.6623515965759336
lstm,sign,2,0.02372756653395988,0.14455682957583846,0.16414005898982276,-0.30774950174572957,0.1566285736810491,0.28461965918540955,0.7048663023145681,0.6623515965759336
lstm,sign,5,0.0022103193531484355,0.14456003363468464,0.015289975365764636,-0.30883990852072263,-0.08668300702198639,0.28461965918540955,0.7048853022448397,0.6623515965759336
lstm,sign,10,-0.033651759573372644,0.14459118418949962,-0.2327372845170769,-0.47381348581690874,-0.38392962022655286,0.28461965918540955,0.7047911347218263,0.6623515965759336
lstm,sign,20,-0.1053759174264148,0.14475017234269758,-0.7279847458622446,-0.745809553166096,-0.7197741974832097,0.28461965918540955,0.7041322761505797,0.6623515965759336
lstm,rank,0,0.017939572380063912,0.07815032695508534,0.22955210910856672,-0.1766049262639059,0.1775550536403343,0.35882140274765,0.21570779844551344,0.5
lstm,rank,2,-0.00014502631841764393,0.07813746782152481,-0.0018560406737124005,-0.22389754172768073,-0.034439312588295246,0.35882140274765,0.21571887152233157,0.5
lstm,rank,5,-0.02727192436613999,0.0781277001744079,-0.349068567297638,-0.3123491136595864,-0.2830944140163554,0.35882140274765,0.21570919730953825,0.5
lstm,rank,10,-0.0724834211123439,0.07813681772361443,-0.9276474679162425,-0.5631170830695222,-0.5635924897941575,0.35882140274765,0.21562296110957765,0.5
lstm,rank,20,-0.16290641460475172,0.07825020279247126,-2.081865717802658,-0.8379888625983586,-0.8383405408834311,0.35882140274765,0.2151885674708018,0.5
buy_and_hold_ew,long,0,0.1674682156179516,0.17237914084718578,0.9715109078447739,-0.3326614341002313,4.334368280811333,,1.0,1.0
