model,test_year,n,ic_pooled,cs_ic_mean,cs_ic_t,hit_rate,hit_ci_lo,hit_ci_hi,hit_p_vs_50,up_rate,hit_p_vs_uprate,share_long,r2_oos
zero,2015,7812,,,,0.4954896907216495,0.48437025049669674,0.5066135944081247,0.43346335189950985,0.4954896907216495,1.0,0.0,0.0
zero,2016,7812,,,,0.5317613709573509,0.520646698969969,0.5428446155212372,2.31564282177845e-08,0.5317613709573509,1.0,0.0,0.0
zero,2017,7781,,,,0.5360891538162499,0.5249472200291716,0.5471951743958092,2.4216091623913487e-10,0.5360891538162499,1.0,0.0,0.0
zero,2018,7781,,,,0.519208381839348,0.5080641087087092,0.5303335748327351,0.0007603523526157334,0.519208381839348,1.0,0.0,0.0
zero,2019,7812,,,,0.549337450147948,0.5382544609326471,0.5603716959894637,3.4605165067522856e-18,0.549337450147948,1.0,0.0,0.0
zero,2020,7843,,,,0.5091537575214441,0.4980653416521066,0.5202331738290005,0.10811405575015992,0.5091537575214441,1.0,0.0,0.0
zero,2021,7812,,,,0.5309086235702352,0.5198074901818842,0.5419792518887573,5.232271767367575e-08,0.5309086235702352,1.0,0.0,0.0
zero,2022,7781,,,,0.495681320097976,0.48455959888758166,0.5068073167830074,0.4536355889233668,0.495681320097976,1.0,0.0,0.0
zero,2023,7750,,,,0.5261658031088083,0.5150171742776822,0.5372884038170317,4.482602472723756e-06,0.5261658031088083,1.0,0.0,0.0
zero,2024,7812,,,,0.5329733898958735,0.5218727441271428,0.5440414844240332,6.355853616216005e-09,0.5329733898958735,1.0,0.0,0.0
zero,2025,7750,,,,0.5299145299145299,0.5187701748514039,0.5410291355564097,1.5409597953870685e-07,0.5299145299145299,1.0,0.0,0.0
zero,ALL,85746,,,,0.523326144036009,0.5199736021065199,0.526676585307209,2.8310248761501055e-42,0.523326144036009,1.0,0.0,0.0
rev1,2015,7812,0.02462189923660859,0.01982033603377906,1.362748392642506,0.5157216494845361,0.5045972428099758,0.5268304978075043,0.0058029783081706065,0.4954896907216495,0.00037979770790561344,0.5156169994879672,
rev1,2016,7812,0.0446009431801942,-0.009549292968754711,-0.5971218989694107,0.5300863290813039,0.5189701782304188,0.5411727099387358,1.2152563125057234e-07,0.5317613709573509,0.7674528207922013,0.4910394265232975,
rev1,2017,7781,0.0019001225763077543,-0.0074181617058954675,-0.4573494542871038,0.5056369055332383,0.49448175655921944,0.5167864450834614,0.3275896547868301,0.5360891538162499,8.588990678270136e-08,0.48965428608148054,
rev1,2018,7781,-0.004394805780179809,0.04305275278619594,2.5275934443063366,0.4955374466433838,0.4843971519581039,0.5066821740878231,0.4393014663025721,0.519208381839348,3.252869444616032e-05,0.494537977123763,
rev1,2019,7812,0.0333976386951391,0.014045578737576279,0.8017727754269035,0.5106136626785025,0.49949809817975444,0.521718741314572,0.06285642945829235,0.549337450147948,7.802536755401432e-12,0.4683819764464926,
rev1,2020,7843,0.12935483147109722,0.018929282535623603,0.8999886623300529,0.5391115094098067,0.5280404613175324,0.5501441048290162,5.003868050208072e-12,0.5091537575214441,1.173997110737462e-07,0.4992987377279102,
rev1,2021,7812,0.02054860276496945,0.0064132104454685136,0.3333518259792303,0.512402004883691,0.501292187567296,0.5234995821200923,0.02950208582756269,0.5309086235702352,0.0011134653813085213,0.49014336917562723,
rev1,2022,7781,-0.03453371690401841,-0.01606965333526604,-0.7667927998733723,0.4865282970220446,0.47541472832949966,0.4976552026429349,0.018187869317633647,0.495681320097976,0.109373342187296,0.5169001413700038,
rev1,2023,7750,-0.03231983494866142,-0.005664060520663654,-0.34741025584299173,0.48367875647668396,0.47254192707319204,0.4948318212439668,0.004277685637740726,0.5261658031088083,8.081336603883321e-14,0.48916129032258066,
rev1,2024,7812,-0.013908367872591428,0.0051936953962569,0.35144706612135995,0.4846381282941252,0.4735424125700589,0.4957490092160405,0.006962428947455494,0.5329733898958735,1.4824703721871054e-17,0.48374295954941116,
rev1,2025,7750,0.012304584556658777,-0.00851537821220678,-0.4788148900647684,0.5051800051800052,0.4940285844161259,0.5163262745289501,0.3686508951724334,0.5299145299145299,1.3971924864845322e-05,0.48593548387096774,
rev1,ALL,85746,0.016545708729237395,0.005498111763799341,1.0383179379049012,0.5063179857464366,0.5029628245599612,0.5096725779606418,0.00022658931912685596,0.523326144036009,2.775087404440469e-23,0.49313087490961677,
mom20,2015,7812,-0.023471130654906296,0.006721215304630597,0.443104945195886,0.49007731958762885,0.4789622944332805,0.5012021643573265,0.08240824022436502,0.4954896907216495,0.34606662318319703,0.46825396825396826,
mom20,2016,7812,0.005652910288141315,-0.0023202993658320683,-0.13223222833693293,0.5070222909418889,0.4958985050299762,0.5181391283970855,0.2202233339176141,0.5317613709573509,1.3178868689823379e-05,0.554531490015361,
mom20,2017,7781,-0.002129455212674457,0.013981931372121897,0.9085859423293148,0.5044706492160166,0.4933158177000903,0.5156210318785878,0.4388867139288322,0.5360891538162499,2.6992614831409654e-08,0.5842436704793729,
mom20,2018,7781,-0.03092929921954548,0.009972702288876185,0.5570944450256219,0.4937265554262062,0.4825875932283072,0.504871749184083,0.27490863506264257,0.519208381839348,7.681681617697878e-06,0.48027245855288525,
mom20,2019,7812,-0.04786128066160303,-0.03238916353508924,-1.9739851121325964,0.4913160941721343,0.4802092348545327,0.5024315328319275,0.12853474777154014,0.549337450147948,1.2222567736807466e-24,0.5962621607782899,
mom20,2020,7843,-0.013778627185056236,0.017303533858724296,0.8104217031901253,0.49878376648316475,0.487698624023851,0.5098701046884494,0.8386159022657241,0.5091537575214441,0.06845006187727141,0.5375494071146245,
